year,week,state,state_name,disease,cases,incidence_per_capita
1966,01,AL,ALABAMA,HEPATITIS A,5,0.14
1966,01,AR,ARKANSAS,HEPATITIS A,11,0.58
1966,01,AZ,ARIZONA,HEPATITIS A,6,0.37
1966,01,CA,CALIFORNIA,HEPATITIS A,89,0.47
1966,01,CO,COLORADO,HEPATITIS A,1,0.05
1966,01,CT,CONNECTICUT,HEPATITIS A,9,0.31
1966,01,DE,DELAWARE,HEPATITIS A,3,0.58
1966,01,FL,FLORIDA,HEPATITIS A,7,0.11
1966,01,GA,GEORGIA,HEPATITIS A,4,0.09
1966,01,HI,HAWAII,HEPATITIS A,3,0.42
1966,01,IA,IOWA,HEPATITIS A,12,0.43
1966,01,ID,IDAHO,HEPATITIS A,2,0.29
1966,01,IL,ILLINOIS,HEPATITIS A,6,0.06
1966,01,IN,INDIANA,HEPATITIS A,2,0.04
1966,01,KS,KANSAS,HEPATITIS A,6,0.27
1966,01,KY,KENTUCKY,HEPATITIS A,26,0.83
1966,01,LA,LOUISIANA,HEPATITIS A,1,0.03
1966,01,MA,MASSACHUSETTS,HEPATITIS A,10,0.18
1966,01,MD,MARYLAND,HEPATITIS A,9,0.24
1966,01,ME,MAINE,HEPATITIS A,6,0.6
1966,01,MI,MICHIGAN,HEPATITIS A,84,0.99
1966,01,MN,MINNESOTA,HEPATITIS A,3,0.08
1966,01,MO,MISSOURI,HEPATITIS A,5,0.11
1966,01,MS,MISSISSIPPI,HEPATITIS A,1,0.04
1966,01,MT,MONTANA,HEPATITIS A,2,0.28
1966,01,NC,NORTH CAROLINA,HEPATITIS A,8,0.16
1966,01,ND,NORTH DAKOTA,HEPATITIS A,1,0.15
1966,01,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.44
1966,01,NJ,NEW JERSEY,HEPATITIS A,21,0.31
1966,01,NM,NEW MEXICO,HEPATITIS A,13,1.29
1966,01,NV,NEVADA,HEPATITIS A,3,0.67
1966,01,OH,OHIO,HEPATITIS A,40,0.39
1966,01,OR,OREGON,HEPATITIS A,14,0.71
1966,01,PA,PENNSYLVANIA,HEPATITIS A,26,0.22
1966,01,RI,RHODE ISLAND,HEPATITIS A,6,0.67
1966,01,SC,SOUTH CAROLINA,HEPATITIS A,4,0.16
1966,01,TN,TENNESSEE,HEPATITIS A,93,2.43
1966,01,TX,TEXAS,HEPATITIS A,62,0.59
1966,01,UT,UTAH,HEPATITIS A,1,0.1
1966,01,VA,VIRGINIA,HEPATITIS A,11,0.25
1966,01,WA,WASHINGTON,HEPATITIS A,5,0.16
1966,01,WI,WISCONSIN,HEPATITIS A,15,0.35
1966,01,WV,WEST VIRGINIA,HEPATITIS A,1,0.06
1966,01,WY,WYOMING,HEPATITIS A,1,0.31
1966,02,AK,ALASKA,HEPATITIS A,6,2.21
1966,02,AL,ALABAMA,HEPATITIS A,3,0.09
1966,02,AR,ARKANSAS,HEPATITIS A,6,0.32
1966,02,AZ,ARIZONA,HEPATITIS A,25,1.55
1966,02,CA,CALIFORNIA,HEPATITIS A,122,0.65
1966,02,CO,COLORADO,HEPATITIS A,3,0.15
1966,02,CT,CONNECTICUT,HEPATITIS A,8,0.28
1966,02,DE,DELAWARE,HEPATITIS A,3,0.58
1966,02,FL,FLORIDA,HEPATITIS A,11,0.18
1966,02,HI,HAWAII,HEPATITIS A,1,0.14
1966,02,IA,IOWA,HEPATITIS A,5,0.18
1966,02,ID,IDAHO,HEPATITIS A,2,0.29
1966,02,IL,ILLINOIS,HEPATITIS A,28,0.26
1966,02,IN,INDIANA,HEPATITIS A,8,0.16
1966,02,KS,KANSAS,HEPATITIS A,4,0.18
1966,02,KY,KENTUCKY,HEPATITIS A,23,0.73
1966,02,LA,LOUISIANA,HEPATITIS A,8,0.23
1966,02,MA,MASSACHUSETTS,HEPATITIS A,10,0.18
1966,02,MD,MARYLAND,HEPATITIS A,10,0.27
1966,02,ME,MAINE,HEPATITIS A,17,1.7
1966,02,MI,MICHIGAN,HEPATITIS A,47,0.55
1966,02,MN,MINNESOTA,HEPATITIS A,3,0.08
1966,02,MO,MISSOURI,HEPATITIS A,5,0.11
1966,02,MS,MISSISSIPPI,HEPATITIS A,9,0.4
1966,02,NC,NORTH CAROLINA,HEPATITIS A,14,0.29
1966,02,ND,NORTH DAKOTA,HEPATITIS A,1,0.15
1966,02,NH,NEW HAMPSHIRE,HEPATITIS A,1,0.15
1966,02,NJ,NEW JERSEY,HEPATITIS A,25,0.36
1966,02,NM,NEW MEXICO,HEPATITIS A,15,1.49
1966,02,NV,NEVADA,HEPATITIS A,4,0.9
1966,02,NY,NEW YORK,HEPATITIS A,74,0.41
1966,02,OH,OHIO,HEPATITIS A,25,0.24
1966,02,OR,OREGON,HEPATITIS A,19,0.96
1966,02,PA,PENNSYLVANIA,HEPATITIS A,38,0.33
1966,02,SC,SOUTH CAROLINA,HEPATITIS A,2,0.08
1966,02,TN,TENNESSEE,HEPATITIS A,32,0.84
1966,02,TX,TEXAS,HEPATITIS A,40,0.38
1966,02,UT,UTAH,HEPATITIS A,4,0.4
1966,02,VA,VIRGINIA,HEPATITIS A,12,0.27
1966,02,WA,WASHINGTON,HEPATITIS A,9,0.29
1966,02,WI,WISCONSIN,HEPATITIS A,9,0.21
1966,02,WV,WEST VIRGINIA,HEPATITIS A,4,0.23
1966,03,AL,ALABAMA,HEPATITIS A,2,0.06
1966,03,AR,ARKANSAS,HEPATITIS A,2,0.11
1966,03,AZ,ARIZONA,HEPATITIS A,9,0.56
1966,03,CA,CALIFORNIA,HEPATITIS A,98,0.52
1966,03,CT,CONNECTICUT,HEPATITIS A,5,0.17
1966,03,DE,DELAWARE,HEPATITIS A,2,0.39
1966,03,FL,FLORIDA,HEPATITIS A,18,0.29
1966,03,HI,HAWAII,HEPATITIS A,2,0.28
1966,03,IA,IOWA,HEPATITIS A,4,0.14
1966,03,IL,ILLINOIS,HEPATITIS A,24,0.22
1966,03,IN,INDIANA,HEPATITIS A,10,0.2
1966,03,KS,KANSAS,HEPATITIS A,8,0.36
1966,03,KY,KENTUCKY,HEPATITIS A,17,0.54
1966,03,LA,LOUISIANA,HEPATITIS A,10,0.28
1966,03,MA,MASSACHUSETTS,HEPATITIS A,17,0.31
1966,03,MD,MARYLAND,HEPATITIS A,6,0.16
1966,03,ME,MAINE,HEPATITIS A,14,1.4
1966,03,MI,MICHIGAN,HEPATITIS A,71,0.83
1966,03,MN,MINNESOTA,HEPATITIS A,2,0.06
1966,03,MO,MISSOURI,HEPATITIS A,5,0.11
1966,03,MS,MISSISSIPPI,HEPATITIS A,4,0.18
1966,03,MT,MONTANA,HEPATITIS A,2,0.28
1966,03,NC,NORTH CAROLINA,HEPATITIS A,13,0.27
1966,03,NE,NEBRASKA,HEPATITIS A,4,0.27
1966,03,NJ,NEW JERSEY,HEPATITIS A,10,0.15
1966,03,NM,NEW MEXICO,HEPATITIS A,13,1.29
1966,03,NV,NEVADA,HEPATITIS A,1,0.22
1966,03,NY,NEW YORK,HEPATITIS A,47,0.26
1966,03,OH,OHIO,HEPATITIS A,23,0.22
1966,03,OK,OKLAHOMA,HEPATITIS A,1,0.04
