year,week,state,state_name,disease,cases,incidence_per_capita
1968,01,AK,ALASKA,MUMPS,7,2.46
1968,01,AL,ALABAMA,MUMPS,39,1.13
1968,01,AZ,ARIZONA,MUMPS,19,1.13
1968,01,CA,CALIFORNIA,MUMPS,247,1.27
1968,01,DC,DISTRICT OF COLUMBIA,MUMPS,1,0.13
1968,01,DE,DELAWARE,MUMPS,9,1.69
1968,01,FL,FLORIDA,MUMPS,36,0.56
1968,01,HI,HAWAII,MUMPS,13,1.77
1968,01,IA,IOWA,MUMPS,351,12.52
1968,01,ID,IDAHO,MUMPS,3,0.43
1968,01,IL,ILLINOIS,MUMPS,72,0.65
1968,01,IN,INDIANA,MUMPS,57,1.12
1968,01,KY,KENTUCKY,MUMPS,107,3.35
1968,01,MA,MASSACHUSETTS,MUMPS,212,3.77
1968,01,MD,MARYLAND,MUMPS,8,0.21
1968,01,ME,MAINE,MUMPS,25,2.52
1968,01,MI,MICHIGAN,MUMPS,176,2.02
1968,01,MN,MINNESOTA,MUMPS,2,0.05
1968,01,MO,MISSOURI,MUMPS,12,0.26
1968,01,MS,MISSISSIPPI,MUMPS,10,0.45
1968,01,MT,MONTANA,MUMPS,3,0.43
1968,01,ND,NORTH DAKOTA,MUMPS,37,5.96
1968,01,NE,NEBRASKA,MUMPS,15,1.02
1968,01,NJ,NEW JERSEY,MUMPS,195,2.78
1968,01,NM,NEW MEXICO,MUMPS,5,0.5
1968,01,OH,OHIO,MUMPS,152,1.45
1968,01,OK,OKLAHOMA,MUMPS,1,0.04
1968,01,OR,OREGON,MUMPS,15,0.75
1968,01,RI,RHODE ISLAND,MUMPS,80,8.68
1968,01,SC,SOUTH CAROLINA,MUMPS,4,0.16
1968,01,TN,TENNESSEE,MUMPS,17,0.44
1968,01,TX,TEXAS,MUMPS,81,0.75
1968,01,UT,UTAH,MUMPS,2,0.19
1968,01,VA,VIRGINIA,MUMPS,22,0.48
1968,01,VT,VERMONT,MUMPS,77,17.91
1968,01,WA,WASHINGTON,MUMPS,234,7.16
1968,01,WV,WEST VIRGINIA,MUMPS,129,7.32
1968,01,WY,WYOMING,MUMPS,23,7.1
1968,02,AK,ALASKA,MUMPS,7,2.46
1968,02,AL,ALABAMA,MUMPS,14,0.41
1968,02,AZ,ARIZONA,MUMPS,38,2.26
1968,02,CA,CALIFORNIA,MUMPS,480,2.47
1968,02,CT,CONNECTICUT,MUMPS,144,4.86
1968,02,DC,DISTRICT OF COLUMBIA,MUMPS,15,1.93
