year,week,state,state_name,disease,cases,incidence_per_capita
1938,01,AL,ALABAMA,PERTUSSIS,22,0.79
1938,01,AR,ARKANSAS,PERTUSSIS,22,1.14
1938,01,AZ,ARIZONA,PERTUSSIS,19,4.08
1938,01,CA,CALIFORNIA,PERTUSSIS,390,5.86
1938,01,CO,COLORADO,PERTUSSIS,10,0.9
1938,01,CT,CONNECTICUT,PERTUSSIS,49,2.91
1938,01,DC,DISTRICT OF COLUMBIA,PERTUSSIS,17,2.66
1938,01,DE,DELAWARE,PERTUSSIS,8,3.11
1938,01,FL,FLORIDA,PERTUSSIS,2,0.11
1938,01,GA,GEORGIA,PERTUSSIS,9,0.29
1938,01,IA,IOWA,PERTUSSIS,32,1.28
1938,01,ID,IDAHO,PERTUSSIS,32,6.24
1938,01,IL,ILLINOIS,PERTUSSIS,104,1.32
1938,01,IN,INDIANA,PERTUSSIS,23,0.68
1938,01,KS,KANSAS,PERTUSSIS,104,5.65
1938,01,KY,KENTUCKY,PERTUSSIS,90,3.21
1938,01,MA,MASSACHUSETTS,PERTUSSIS,180,4.12
1938,01,MD,MARYLAND,PERTUSSIS,55,3.11
1938,01,ME,MAINE,PERTUSSIS,131,15.54
1938,01,MI,MICHIGAN,PERTUSSIS,99,1.96
1938,01,MN,MINNESOTA,PERTUSSIS,66,2.4
1938,01,MO,MISSOURI,PERTUSSIS,48,1.27
1938,01,MT,MONTANA,PERTUSSIS,67,12.14
1938,01,NC,NORTH CAROLINA,PERTUSSIS,328,9.53
1938,01,ND,NORTH DAKOTA,PERTUSSIS,25,3.86
1938,01,NE,NEBRASKA,PERTUSSIS,16,1.21
1938,01,NH,NEW HAMPSHIRE,PERTUSSIS,6,1.24
1938,01,NJ,NEW JERSEY,PERTUSSIS,215,5.24
1938,01,NM,NEW MEXICO,PERTUSSIS,19,3.7
1938,01,NY,NEW YORK,PERTUSSIS,349,2.58
1938,01,OH,OHIO,PERTUSSIS,42,0.61
1938,01,OK,OKLAHOMA,PERTUSSIS,14,0.6
1938,01,OR,OREGON,PERTUSSIS,10,0.94
1938,01,PA,PENNSYLVANIA,PERTUSSIS,206,2.07
1938,01,RI,RHODE ISLAND,PERTUSSIS,36,5.19
1938,01,SC,SOUTH CAROLINA,PERTUSSIS,65,3.54
1938,01,SD,SOUTH DAKOTA,PERTUSSIS,19,2.93
1938,01,TN,TENNESSEE,PERTUSSIS,29,1.03
1938,01,TX,TEXAS,PERTUSSIS,140,2.22
1938,01,UT,UTAH,PERTUSSIS,20,3.74
1938,01,VA,VIRGINIA,PERTUSSIS,118,4.47
1938,01,VT,VERMONT,PERTUSSIS,50,14.04
1938,01,WA,WASHINGTON,PERTUSSIS,134,7.89
1938,01,WI,WISCONSIN,PERTUSSIS,121,3.91
1938,01,WV,WEST VIRGINIA,PERTUSSIS,72,3.94
1938,01,WY,WYOMING,PERTUSSIS,14,5.69
1938,02,AL,ALABAMA,PERTUSSIS,29,1.04
1938,02,AR,ARKANSAS,PERTUSSIS,48,2.49
1938,02,AZ,ARIZONA,PERTUSSIS,37,7.94
1938,02,CA,CALIFORNIA,PERTUSSIS,456,6.85
1938,02,CO,COLORADO,PERTUSSIS,5,0.45
1938,02,CT,CONNECTICUT,PERTUSSIS,39,2.32
1938,02,DC,DISTRICT OF COLUMBIA,PERTUSSIS,9,1.41
1938,02,DE,DELAWARE,PERTUSSIS,7,2.72
1938,02,FL,FLORIDA,PERTUSSIS,10,0.56
1938,02,GA,GEORGIA,PERTUSSIS,20,0.65
1938,02,IA,IOWA,PERTUSSIS,32,1.28
1938,02,ID,IDAHO,PERTUSSIS,11,2.14
1938,02,IL,ILLINOIS,PERTUSSIS,100,1.27
1938,02,IN,INDIANA,PERTUSSIS,36,1.06
1938,02,KS,KANSAS,PERTUSSIS,93,5.05
1938,02,KY,KENTUCKY,PERTUSSIS,14,0.5
1938,02,LA,LOUISIANA,PERTUSSIS,6,0.26
1938,02,MA,MASSACHUSETTS,PERTUSSIS,154,3.53
1938,02,MD,MARYLAND,PERTUSSIS,45,2.55
1938,02,ME,MAINE,PERTUSSIS,57,6.76
1938,02,MI,MICHIGAN,PERTUSSIS,184,3.64
1938,02,MN,MINNESOTA,PERTUSSIS,55,2
1938,02,MO,MISSOURI,PERTUSSIS,95,2.51
1938,02,MT,MONTANA,PERTUSSIS,32,5.8
1938,02,NC,NORTH CAROLINA,PERTUSSIS,324,9.42
1938,02,ND,NORTH DAKOTA,PERTUSSIS,14,2.16
1938,02,NE,NEBRASKA,PERTUSSIS,6,0.45
1938,02,NH,NEW HAMPSHIRE,PERTUSSIS,3,0.62
1938,02,NJ,NEW JERSEY,PERTUSSIS,150,3.66
1938,02,NM,NEW MEXICO,PERTUSSIS,60,11.7
1938,02,NY,NEW YORK,PERTUSSIS,330,2.44
1938,02,OH,OHIO,PERTUSSIS,144,2.11
1938,02,OK,OKLAHOMA,PERTUSSIS,12,0.52
1938,02,OR,OREGON,PERTUSSIS,13,1.22
