year,week,state,state_name,disease,cases,incidence_per_capita
1966,01,AL,ALABAMA,RUBELLA,7,0.2
1966,01,AZ,ARIZONA,RUBELLA,29,1.8
1966,01,CA,CALIFORNIA,RUBELLA,7,0.04
1966,01,CT,CONNECTICUT,RUBELLA,11,0.38
1966,01,HI,HAWAII,RUBELLA,1,0.14
1966,01,IA,IOWA,RUBELLA,6,0.22
1966,01,ID,IDAHO,RUBELLA,1,0.15
1966,01,IL,ILLINOIS,RUBELLA,17,0.16
1966,01,IN,INDIANA,RUBELLA,21,0.42
1966,01,KY,KENTUCKY,RUBELLA,14,0.44
1966,01,MA,MASSACHUSETTS,RUBELLA,10,0.18
1966,01,MD,MARYLAND,RUBELLA,6,0.16
1966,01,ME,MAINE,RUBELLA,4,0.4
1966,01,MI,MICHIGAN,RUBELLA,25,0.29
1966,01,MN,MINNESOTA,RUBELLA,2,0.06
1966,01,MO,MISSOURI,RUBELLA,1,0.02
1966,01,MT,MONTANA,RUBELLA,11,1.56
1966,01,ND,NORTH DAKOTA,RUBELLA,7,1.08
1966,01,NH,NEW HAMPSHIRE,RUBELLA,9,1.32
1966,01,OR,OREGON,RUBELLA,22,1.12
1966,01,PA,PENNSYLVANIA,RUBELLA,1,0.01
1966,01,RI,RHODE ISLAND,RUBELLA,6,0.67
1966,01,SC,SOUTH CAROLINA,RUBELLA,4,0.16
1966,01,TN,TENNESSEE,RUBELLA,23,0.6
1966,01,VA,VIRGINIA,RUBELLA,3,0.07
1966,01,VT,VERMONT,RUBELLA,2,0.48
1966,01,WA,WASHINGTON,RUBELLA,70,2.29
1966,01,WI,WISCONSIN,RUBELLA,40,0.94
1966,01,WV,WEST VIRGINIA,RUBELLA,23,1.3
1966,01,WY,WYOMING,RUBELLA,1,0.31
1966,02,AL,ALABAMA,RUBELLA,1,0.03
1966,02,AZ,ARIZONA,RUBELLA,53,3.28
1966,02,CA,CALIFORNIA,RUBELLA,43,0.23
1966,02,CO,COLORADO,RUBELLA,2,0.1
1966,02,CT,CONNECTICUT,RUBELLA,30,1.03
1966,02,HI,HAWAII,RUBELLA,4,0.56
1966,02,IA,IOWA,RUBELLA,34,1.23
1966,02,ID,IDAHO,RUBELLA,3,0.44
1966,02,IL,ILLINOIS,RUBELLA,81,0.75
1966,02,IN,INDIANA,RUBELLA,57,1.14
1966,02,KY,KENTUCKY,RUBELLA,17,0.54
1966,02,MA,MASSACHUSETTS,RUBELLA,20,0.36
1966,02,MD,MARYLAND,RUBELLA,5,0.14
1966,02,ME,MAINE,RUBELLA,8,0.8
1966,02,MI,MICHIGAN,RUBELLA,53,0.62
1966,02,MN,MINNESOTA,RUBELLA,7,0.19
1966,02,MO,MISSOURI,RUBELLA,2,0.04
1966,02,MT,MONTANA,RUBELLA,35,4.95
1966,02,ND,NORTH DAKOTA,RUBELLA,7,1.08
1966,02,NY,NEW YORK,RUBELLA,167,0.94
1966,02,OR,OREGON,RUBELLA,33,1.68
1966,02,RI,RHODE ISLAND,RUBELLA,3,0.33
1966,02,TN,TENNESSEE,RUBELLA,40,1.05
1966,02,UT,UTAH,RUBELLA,2,0.2
1966,02,VA,VIRGINIA,RUBELLA,5,0.11
1966,02,WA,WASHINGTON,RUBELLA,88,2.88
1966,02,WI,WISCONSIN,RUBELLA,122,2.85
1966,02,WV,WEST VIRGINIA,RUBELLA,8,0.45
1966,03,AL,ALABAMA,RUBELLA,1,0.03
1966,03,AZ,ARIZONA,RUBELLA,35,2.17
1966,03,CA,CALIFORNIA,RUBELLA,74,0.39
1966,03,CO,COLORADO,RUBELLA,16,0.8
1966,03,CT,CONNECTICUT,RUBELLA,39,1.34
1966,03,DE,DELAWARE,RUBELLA,1,0.19
1966,03,FL,FLORIDA,RUBELLA,16,0.26
1966,03,HI,HAWAII,RUBELLA,5,0.7
1966,03,IA,IOWA,RUBELLA,17,0.62
1966,03,IL,ILLINOIS,RUBELLA,46,0.42
1966,03,IN,INDIANA,RUBELLA,31,0.62
1966,03,KY,KENTUCKY,RUBELLA,42,1.33
1966,03,MA,MASSACHUSETTS,RUBELLA,20,0.36
1966,03,MD,MARYLAND,RUBELLA,1,0.03
1966,03,ME,MAINE,RUBELLA,7,0.7
1966,03,MI,MICHIGAN,RUBELLA,28,0.33
1966,03,MN,MINNESOTA,RUBELLA,3,0.08
1966,03,MT,MONTANA,RUBELLA,4,0.57
1966,03,ND,NORTH DAKOTA,RUBELLA,8,1.24
1966,03,NH,NEW HAMPSHIRE,RUBELLA,1,0.15
1966,03,NY,NEW YORK,RUBELLA,54,0.3
1966,03,OR,OREGON,RUBELLA,40,2.03
1966,03,PA,PENNSYLVANIA,RUBELLA,2,0.02
1966,03,RI,RHODE ISLAND,RUBELLA,19,2.11
1966,03,SC,SOUTH CAROLINA,RUBELLA,6,0.24
1966,03,TN,TENNESSEE,RUBELLA,45,1.18
1966,03,UT,UTAH,RUBELLA,2,0.2
1966,03,VA,VIRGINIA,RUBELLA,10,0.22
1966,03,VT,VERMONT,RUBELLA,27,6.54
1966,03,WA,WASHINGTON,RUBELLA,79,2.58
1966,03,WI,WISCONSIN,RUBELLA,130,3.04
1966,03,WV,WEST VIRGINIA,RUBELLA,14,0.79
1966,03,WY,WYOMING,RUBELLA,1,0.31
