year,week,state,state_name,disease,cases,incidence_per_capita
1928,01,AL,ALABAMA,POLIO,0,0
1928,01,AR,ARKANSAS,POLIO,0,0
1928,01,AZ,ARIZONA,POLIO,0,0
1928,01,CA,CALIFORNIA,POLIO,9,0.17
1928,01,CO,COLORADO,POLIO,4,0.39
1928,01,CT,CONNECTICUT,POLIO,0,0
1928,01,DE,DELAWARE,POLIO,0,0
1928,01,FL,FLORIDA,POLIO,0,0
1928,01,GA,GEORGIA,POLIO,1,0.03
1928,01,IA,IOWA,POLIO,2,0.08
1928,01,ID,IDAHO,POLIO,0,0
1928,01,IL,ILLINOIS,POLIO,2,0.03
1928,01,IN,INDIANA,POLIO,1,0.03
1928,01,KS,KANSAS,POLIO,0,0
1928,01,KY,KENTUCKY,POLIO,0,0
1928,01,LA,LOUISIANA,POLIO,0,0
1928,01,MA,MASSACHUSETTS,POLIO,6,0.14
1928,01,MD,MARYLAND,POLIO,1,0.06
1928,01,ME,MAINE,POLIO,0,0
1928,01,MI,MICHIGAN,POLIO,2,0.04
1928,01,MN,MINNESOTA,POLIO,0,0
1928,01,MO,MISSOURI,POLIO,1,0.03
1928,01,MS,MISSISSIPPI,POLIO,0,0
1928,01,MT,MONTANA,POLIO,1,0.18
1928,01,NC,NORTH CAROLINA,POLIO,0,0
1928,01,NE,NEBRASKA,POLIO,1,0.07
1928,01,NJ,NEW JERSEY,POLIO,3,0.08
1928,01,NM,NEW MEXICO,POLIO,0,0
1928,01,NY,NEW YORK,POLIO,9,0.08
1928,01,OH,OHIO,POLIO,1,0.02
1928,01,OK,OKLAHOMA,POLIO,0,0
1928,01,OR,OREGON,POLIO,6,0.64
1928,01,PA,PENNSYLVANIA,POLIO,0,0
1928,01,RI,RHODE ISLAND,POLIO,0,0
1928,01,SC,SOUTH CAROLINA,POLIO,1,0.06
1928,01,SD,SOUTH DAKOTA,POLIO,0,0
1928,01,TN,TENNESSEE,POLIO,1,0.04
1928,01,TX,TEXAS,POLIO,3,0.05
1928,01,UT,UTAH,POLIO,0,0
1928,01,VT,VERMONT,POLIO,0,0
1928,01,WA,WASHINGTON,POLIO,4,0.26
1928,01,WI,WISCONSIN,POLIO,1,0.03
1928,01,WV,WEST VIRGINIA,POLIO,1,0.06
1928,01,WY,WYOMING,POLIO,0,0
1928,02,AL,ALABAMA,POLIO,0,0
1928,02,AR,ARKANSAS,POLIO,0,0
1928,02,AZ,ARIZONA,POLIO,0,0
1928,02,CA,CALIFORNIA,POLIO,8,0.15
1928,02,CO,COLORADO,POLIO,2,0.2
1928,02,CT,CONNECTICUT,POLIO,0,0
1928,02,DE,DELAWARE,POLIO,0,0
1928,02,FL,FLORIDA,POLIO,0,0
1928,02,GA,GEORGIA,POLIO,0,0
1928,02,ID,IDAHO,POLIO,0,0
1928,02,IL,ILLINOIS,POLIO,1,0.01
1928,02,IN,INDIANA,POLIO,1,0.03
1928,02,KS,KANSAS,POLIO,4,0.22
1928,02,KY,KENTUCKY,POLIO,0,0
1928,02,LA,LOUISIANA,POLIO,1,0.05
1928,02,MA,MASSACHUSETTS,POLIO,6,0.14
1928,02,MD,MARYLAND,POLIO,1,0.06
1928,02,ME,MAINE,POLIO,1,0.13
1928,02,MI,MICHIGAN,POLIO,2,0.04
1928,02,MN,MINNESOTA,POLIO,1,0.04
